,train_score,sparsity_sc,sparsity_sp,sparsity_diff
nrxn1,0.9642751,0.02161589159791677,0.012345679012345734,-0.009270212585571036
chgb,0.963792,0.05019127068258289,0.015432098765432056,-0.03475917191715083
nap1l5,0.96329796,0.026132645066138216,0.02777777777777779,0.0016451327116395742
lhx5,0.9632848,0.9967276582015947,0.9969135802469136,0.0001859220453188648
sv2b,0.96261007,0.4477577545282758,0.015432098765432056,-0.43232565576284376
tcf4,0.96236736,0.010784901138406244,0.012345679012345734,0.0015607778739394895
glul,0.96211404,0.09305433930958196,0.012345679012345734,-0.08070866029723622
arpp21,0.9620996,0.25303037286260777,0.012345679012345734,-0.24068469385026203
hnrnpa2b1,0.9620489,0.0005069825321473154,0.024691358024691357,0.02418437549254404
ttc9b,0.9619412,0.0722219661704383,0.021604938271604923,-0.05061702789883338
tspyl4,0.96135426,0.04046642392957556,0.024691358024691357,-0.0157750659048842
ctsd,0.96132684,0.021892427524542568,0.006172839506172867,-0.0157195880183697
ebf3,0.9613219,0.9964511222749689,0.9938271604938271,-0.0026239617811417704
ptgds,0.961319,0.7829653869198507,0.006172839506172867,-0.7767925474136779
cycs,0.9610163,0.0069594874867493495,0.021604938271604923,0.014645450784855574
nefl,0.96063656,0.3564548094206572,0.03395061728395066,-0.32250419213670656
mpc2,0.96056706,0.013596349725768508,0.012345679012345734,-0.0012506707134227746
ttyh1,0.9593231,0.07609346914319948,0.015432098765432056,-0.06066137037776742
hpcal4,0.95931715,0.09033506936442826,0.012345679012345734,-0.07798939035208252
ngef,0.95914334,0.19601788265658848,0.015432098765432056,-0.18058578389115643
lingo1,0.95863837,0.38530672443194913,0.015432098765432056,-0.3698746256665171
ly6h,0.95825,0.056090703783933216,0.015432098765432056,-0.04065860501850116
cyc1,0.9580787,0.013734617689081463,0.015432098765432056,0.0016974810763505932
h3f3a,0.9578994,0.002581001981840858,0.021604938271604923,0.019023936289764065
ncald,0.9575505,0.04867032308614094,0.024691358024691357,-0.023978965061449586
rap1gds1,0.9559176,0.04724155413190767,0.015432098765432056,-0.031809455366475614
lmo4,0.95573336,0.10107388118173022,0.030864197530864224,-0.070209683650866
psd3,0.955493,0.1605291054062774,0.01851851851851849,-0.14201058688775892
ptn,0.95536274,0.2668571691938978,0.024691358024691357,-0.24216581116920644
ptk2b,0.95503265,0.37493662718348164,0.021604938271604923,-0.3533316889118767
klf9,0.95498097,0.12504032815596622,0.021604938271604923,-0.1034353898843613
