,score,is_training,sparsity_sp,sparsity_sc,sparsity_diff
itm2c,0.9854832,False,0.0,0.011798866202700875,-0.011798866202700875
rps11,0.9852473,False,0.0,0.010416186569571884,-0.010416186569571884
ncdn,0.9852192,False,0.0,0.05023736000368717,-0.05023736000368717
sept7,0.98516077,True,0.0,0.0029497165506752188,-0.0029497165506752188
ndufs5,0.9851233,False,0.0,0.00663686223901927,-0.00663686223901927
uqcr10,0.9849472,False,0.0,0.0052541826058901675,-0.0052541826058901675
rpsa,0.9849038,False,0.0,0.02299857123104576,-0.02299857123104576
rpl18a,0.98489565,True,0.0,0.005853343780246156,-0.005853343780246156
rpl23,0.98477674,False,0.0030864197530864335,0.014195510900124386,-0.011109091147037953
eno2,0.98472613,False,0.0030864197530864335,0.044476194865649576,-0.04138977511256314
rpl29,0.9846684,False,0.0,0.025441305249573665,-0.025441305249573665
rab6a,0.9844762,False,0.006172839506172867,0.019726229432640463,-0.013553389926467596
syt11,0.984471,False,0.0,0.016131262386505085,-0.016131262386505085
slc17a7,0.98438436,True,0.0030864197530864335,0.43540581647232335,-0.4323193967192369
scg5,0.9843671,False,0.0,0.03558095589251975,-0.03558095589251975
morf4l1,0.9842669,False,0.0092592592592593,0.008526524404295577,0.0007327348549637236
ndufa13,0.9842437,True,0.0,0.005208093284785886,-0.005208093284785886
1110008p14rik,0.98413694,True,0.0,0.0539705950131355,-0.0539705950131355
prkcb,0.984098,True,0.0030864197530864335,0.04281697930589479,-0.03973055955280835
ctsb,0.98403037,False,0.0030864197530864335,0.006360326312393472,-0.0032739065593070382
pfn2,0.9839647,False,0.0030864197530864335,0.02392035765313172,-0.020833937900045285
rps25,0.9838447,False,0.0030864197530864335,0.006867308844540676,-0.0037808890914542426
ubc,0.9837233,False,0.0,0.0017513942019633522,-0.0017513942019633522
stxbp1,0.9837042,False,0.006172839506172867,0.03889938701202933,-0.03272654750585646
nsf,0.983699,False,0.0030864197530864335,0.03899156565423789,-0.03590514590115146
pgk1,0.9836481,False,0.0030864197530864335,0.02963543347006503,-0.026549013716978598
ndrg3,0.983641,True,0.0,0.027192699451537128,-0.027192699451537128
bsg,0.98357296,True,0.0,0.002534912660736466,-0.002534912660736466
sncb,0.9835225,False,0.0030864197530864335,0.05429322026086558,-0.05120680050777915
atp6v0b,0.98352176,False,0.0,0.003825413651656895,-0.003825413651656895
atp5f1,0.98340935,False,0.006172839506172867,0.00663686223901927,-0.00046402273284640305
rps28,0.98339504,False,0.0030864197530864335,0.013688528367977182,-0.010602108614890748
ppp2r1a,0.98339057,False,0.0,0.020878462460247937,-0.020878462460247937
