,train_score,sparsity_sc,sparsity_sp,sparsity_diff
sh3gl2,0.880744,0.0773839701341199,0.015432098765432056,-0.06195187136868785
ttyh1,0.880731,0.07609346914319948,0.015432098765432056,-0.06066137037776742
cyc1,0.8806873,0.013734617689081463,0.015432098765432056,0.0016974810763505932
ptk2b,0.8799668,0.37493662718348164,0.021604938271604923,-0.3533316889118767
eno1,0.87993735,0.006083790385767562,0.01851851851851849,0.012434728132750927
nefl,0.879578,0.3564548094206572,0.03395061728395066,-0.32250419213670656
enc1,0.87945545,0.2529381942203991,0.0092592592592593,-0.2436789349611398
6330403k07rik,0.8789703,0.07512559340000924,0.012345679012345734,-0.0627799143876635
id2,0.8785863,0.21099691201548598,0.04012345679012341,-0.17087345522536257
aldoc,0.8784454,0.48992948333871045,0.006172839506172867,-0.4837566438325376
sv2b,0.8782546,0.4477577545282758,0.015432098765432056,-0.43232565576284376
kalrn,0.8775185,0.1139328017698299,0.021604938271604923,-0.09232786349822497
ccl27a,0.8773778,0.04585887449877868,0.024691358024691357,-0.021167516474087322
rap1gds1,0.87699157,0.04724155413190767,0.015432098765432056,-0.031809455366475614
ngef,0.876765,0.19601788265658848,0.015432098765432056,-0.18058578389115643
camk2a,0.87659603,0.12315066599068991,0.0,-0.12315066599068991
ctxn1,0.8764036,0.18131538922431678,0.012345679012345734,-0.16896971021197105
tubb2a,0.87626666,0.014195510900124386,0.0030864197530864335,-0.011109091147037953
tcf4,0.8759803,0.010784901138406244,0.012345679012345734,0.0015607778739394895
fam131a,0.87571615,0.10996912015486016,0.02777777777777779,-0.08219134237708237
ptn,0.8755462,0.2668571691938978,0.024691358024691357,-0.24216581116920644
nap1l5,0.8751383,0.026132645066138216,0.02777777777777779,0.0016451327116395742
serpini1,0.87485826,0.05461584550859566,0.030864197530864224,-0.023751647977731438
nrxn1,0.8748255,0.02161589159791677,0.012345679012345734,-0.009270212585571036
chgb,0.87430906,0.05019127068258289,0.015432098765432056,-0.03475917191715083
hpcal4,0.87402225,0.09033506936442826,0.012345679012345734,-0.07798939035208252
diras2,0.8738424,0.2510946213762272,0.06172839506172845,-0.18936622631449873
lingo1,0.8736602,0.38530672443194913,0.015432098765432056,-0.3698746256665171
rpl35,0.8732729,0.01032400792736321,0.012345679012345734,0.0020216710849825237
ctsd,0.8729491,0.021892427524542568,0.006172839506172867,-0.0157195880183697
arpp21,0.87270486,0.25303037286260777,0.012345679012345734,-0.24068469385026203
cend1,0.872214,0.04055860257178412,0.024691358024691357,-0.015867244547092763
snca,0.8717443,0.06821219523436417,0.006172839506172867,-0.0620393557281913
lmo4,0.8702537,0.10107388118173022,0.030864197530864224,-0.070209683650866
