,score,is_training,sparsity_sp,sparsity_sc,sparsity_diff
ndrg2,0.72843444,True,0.4679252943564759,0.7479096515455337,-0.2799843571890578
tubb2a,0.72816586,False,0.6678846934632562,0.4281336309636412,0.23975106249961498
esam,0.7281458,True,0.9934023548518067,0.9691649956490485,0.02423735920275827
mt-nd2,0.7281086,False,0.2945594803085668,0.5391774809882335,-0.24461800067966666
ldhb,0.7281017,False,0.6435241575314656,0.2865952858385986,0.356928871692867
tspyl4,0.7278504,False,0.7234064149411288,0.3688471870152472,0.35455922792588157
gad2,0.7276805,True,0.9465083231831101,0.8723846997843441,0.07412362339876599
adam12,0.726697,True,0.9980714575720666,0.9104839014793236,0.08758755609274305
nrn1,0.72513086,True,0.7712139667072675,0.39714728916802244,0.37406667753924505
igf1,0.7240028,True,0.9949248883475437,0.9506261586773107,0.04429872967023296
hnrnpa2b1,0.72379136,False,0.6897076735688186,0.14774318035639966,0.5419644932124189
slc32a1,0.72374,True,0.9585870889159561,0.9056789376111385,0.05290815130481763
igfbp2,0.7235514,True,0.980816077953715,0.9491884529529719,0.03162762500074301
smoc1,0.7232395,True,0.9954323995127893,0.9452915137527903,0.05014088575999898
cgnl1,0.7232249,True,0.9954323995127893,0.976088683742575,0.01934371577021432
cox7b,0.72057116,False,0.6612870483150629,0.33108849457076917,0.33019855374429374
camk2b,0.7193626,False,0.7317295980511571,0.3969959517233551,0.334733646327802
gjc1,0.71770173,True,0.9977669508729192,0.9718512352918921,0.02591571558102712
fcgr3,0.71757823,True,0.9875152253349574,0.9704513639287201,0.01706386140623728
gm14005,0.7165693,True,0.9976654486398701,0.9546366009609928,0.04302884767887727
atpif1,0.7149713,False,0.6828055217214779,0.2800499413567402,0.4027555803647377
atp6v1a,0.71490633,False,0.7261469752334551,0.36559343195490146,0.3605535432785536
cox6a1,0.71433955,False,0.53603329273244,0.44606711815670996,0.08996617457573008
fzd6,0.71378213,True,0.9956354039788875,0.9667057621732057,0.028929641805681805
mfge8,0.7135016,True,0.8869265123832725,0.8747304301766865,0.012196082206585968
cck,0.7134003,False,0.6863580998781973,0.21512617759449126,0.47123192228370603
slc22a17,0.713236,False,0.7198538367844093,0.3238621315879081,0.3959917051965012
bsg,0.71277994,True,0.7166057653268372,0.2634406568045099,0.4531651085223273
vamp2,0.7126451,False,0.6777304100690216,0.42601490673829967,0.2517155033307219
syt11,0.71201277,False,0.7472594397076735,0.16904392569331472,0.5782155140143588
qk,0.7119148,True,0.7577141697117337,0.18958798380689346,0.5681261859048402
ppp3r1,0.71144116,False,0.6910272025984572,0.7056865044833718,-0.0146593018849146
matr3,0.7113601,False,0.7526390580592773,0.4601036661495971,0.29253539190968025
gap43,0.71059906,True,0.7075720665854649,0.4808747304301767,0.2266973361552882
cd81,0.70980966,False,0.7344701583434836,0.2469827096969468,0.4874874486465368
ubc,0.70872533,False,0.669305724725944,0.3294237826794295,0.33988194204651445
gatm,0.7084349,True,0.9122005684125051,0.7475691422950324,0.16463142611747272
svil,0.70840263,True,0.9937068615509541,0.8573266240399531,0.13638023751100103
neat1,0.70773846,True,0.9113885505481121,0.7828686012636676,0.12851994928444443
stmn4,0.70696026,False,0.7127486804709704,0.34879497559683703,0.36395370487413337
snca,0.706922,False,0.7400527811611856,0.34058491922363887,0.3994678619375467
lcp1,0.7069008,True,0.9928948436865611,0.9522908705686505,0.04060397311791064
mllt11,0.70680803,False,0.7158952496954933,0.42332866709545613,0.2925665826000372
bex2,0.70658094,False,0.7170117742590336,0.3825432257576331,0.3344685485014005
nckap1l,0.7063796,True,0.9953308972797401,0.9695811736218833,0.02574972365785677
dclk1,0.7062776,True,0.7213763702801461,0.1746434111460028,0.5467329591341433
reln,0.7058926,True,0.9875152253349574,0.8757897922893572,0.11172543304560023
eya2,0.7058885,True,0.9973609419407227,0.9653815595323673,0.031979382408355406
cplx1,0.7058624,False,0.7166057653268372,0.6172676024365329,0.09933816289030428
celf4,0.70504224,True,0.6739748274462039,0.3026748893344936,0.37129993811171025
ncl,0.7047218,False,0.6926512383272432,0.3968067799175211,0.29584445840972207
fermt3,0.7042691,True,0.9971579374746244,0.9611819454428512,0.03597599203177326
ociad1,0.7039646,False,0.7066585464880227,0.410881162271575,0.2957773842164477
il33,0.7033108,True,0.9427527405602923,0.8483598804434187,0.09439286011687364
il10ra,0.7032061,True,0.9971579374746244,0.9729105974045629,0.024247340070061574
atp5g3,0.7028323,False,0.6778319123020706,0.4739132079754833,0.20391870432658732
mill2,0.70275086,True,0.999187982135607,0.9582686996330066,0.04091928250260035
lims2,0.70168346,True,0.9853836784409257,0.9507396617608111,0.03464401668011452
atp6v0b,0.7013912,True,0.7472594397076735,0.0975369830880406,0.6497224566196329
efnb3,0.7013521,True,0.941737718229801,0.8388256214293821,0.1029120968004189
gpr37,0.70113665,True,0.9567600487210719,0.8914153834512504,0.06534466526982152
mir142hg,0.7005021,True,0.9996954933008526,0.9642465286973629,0.035448964603489674
crispld1,0.7003537,True,0.9973609419407227,0.8713631720328402,0.12599776990788247
camk2a,0.70010775,True,0.4804100690215185,0.29783209110514164,0.18257797791637687
npas1,0.70005625,True,0.9891392610637434,0.9564904846581666,0.03264877640557684
eva1c,0.699368,True,0.9964474218432805,0.9327305058454088,0.06371691599787166
mapk10,0.6990945,True,0.7436053593179051,0.20695395558246,0.5366514037354451
dcdc2a,0.69907236,True,0.9857896873731222,0.945556354280958,0.04023333309216426
syn2,0.6989976,True,0.7473609419407228,0.25738715901781994,0.48997378292290283
napb,0.697439,False,0.7634997969955339,0.4725511709734781,0.29094862602205585
dynll1,0.6973182,False,0.7199553390174585,0.2513336612311301,0.46862167778632835
rrp1,0.69706947,False,0.7086885911490053,0.5067155991071091,0.20197299204189623
