,train_score,sparsity_sc,sparsity_sp,sparsity_diff
pth1r,0.74101365,0.9588362150505089,0.9944173771822981,0.03558116213178919
wfdc1,0.7387938,0.9882335136771215,0.9964474218432805,0.008213908166158967
kit,0.73791164,0.9372327948242594,0.9900527811611856,0.052819986336926195
csf3r,0.73761487,0.9665544247285385,0.9981729598051157,0.03161853507657719
ndrg1,0.73713285,0.8894479966705762,0.9246853430775477,0.035237346406971515
rbp1,0.7368039,0.9621656388331883,0.9764514819326026,0.014285843099414275
itga1,0.7360391,0.9729105974045629,0.9958384084449858,0.022927811040422963
uaca,0.73577017,0.9777912299950815,0.9931993503857085,0.015408120390627
slc16a12,0.7346783,0.9696946767053838,0.9992894843686561,0.02959480766327227
ecm2,0.7338963,0.9707162044568878,0.9986804709703614,0.027964266513473612
srgn,0.7337737,0.9791154326359199,0.9947218838814454,0.01560645124552551
sv2c,0.7331864,0.9106352389239908,0.9885302476654486,0.07789500874145783
tbx15,0.73211914,0.9683704740645455,0.9996954933008526,0.03132501923630715
prox1os,0.7315032,0.9599334115243464,0.9960414129110841,0.03610800138673764
3110035e14rik,0.72952527,0.5335779955355453,0.7809581810799837,0.2473801855444384
unc5b,0.7288106,0.9340168741250804,0.9763499796995534,0.04233310557447301
ndrg2,0.72843444,0.7479096515455337,0.4679252943564759,-0.2799843571890578
esam,0.7281458,0.9691649956490485,0.9934023548518067,0.02423735920275827
gad2,0.72768044,0.8723846997843441,0.9465083231831101,0.07412362339876599
adam12,0.726697,0.9104839014793236,0.9980714575720666,0.08758755609274305
nrn1,0.7251309,0.39714728916802244,0.7712139667072675,0.37406667753924505
igf1,0.7240028,0.9506261586773107,0.9949248883475437,0.04429872967023296
slc32a1,0.72374,0.9056789376111385,0.9585870889159561,0.05290815130481763
igfbp2,0.7235514,0.9491884529529719,0.980816077953715,0.03162762500074301
smoc1,0.7232395,0.9452915137527903,0.9954323995127893,0.05014088575999898
cgnl1,0.7232248,0.976088683742575,0.9954323995127893,0.01934371577021432
gjc1,0.7177016,0.9718512352918921,0.9977669508729192,0.02591571558102712
fcgr3,0.7175783,0.9704513639287201,0.9875152253349574,0.01706386140623728
gm14005,0.7165693,0.9546366009609928,0.9976654486398701,0.04302884767887727
fzd6,0.71378213,0.9667057621732057,0.9956354039788875,0.028929641805681805
mfge8,0.71350145,0.8747304301766865,0.8869265123832725,0.012196082206585968
bsg,0.71278,0.2634406568045099,0.7166057653268372,0.4531651085223273
qk,0.7119148,0.18958798380689346,0.7577141697117337,0.5681261859048402
gap43,0.710599,0.4808747304301767,0.7075720665854649,0.2266973361552882
gatm,0.7084349,0.7475691422950324,0.9122005684125051,0.16463142611747272
svil,0.70840263,0.8573266240399531,0.9937068615509541,0.13638023751100103
neat1,0.70773846,0.7828686012636676,0.9113885505481121,0.12851994928444443
lcp1,0.7069007,0.9522908705686505,0.9928948436865611,0.04060397311791064
nckap1l,0.7063796,0.9695811736218833,0.9953308972797401,0.02574972365785677
dclk1,0.70627755,0.1746434111460028,0.7213763702801461,0.5467329591341433
reln,0.7058927,0.8757897922893572,0.9875152253349574,0.11172543304560023
eya2,0.7058885,0.9653815595323673,0.9973609419407227,0.031979382408355406
celf4,0.70504224,0.3026748893344936,0.6739748274462039,0.37129993811171025
fermt3,0.7042691,0.9611819454428512,0.9971579374746244,0.03597599203177326
il33,0.7033108,0.8483598804434187,0.9427527405602923,0.09439286011687364
il10ra,0.7032061,0.9729105974045629,0.9971579374746244,0.024247340070061574
mill2,0.70275086,0.9582686996330066,0.999187982135607,0.04091928250260035
lims2,0.70168346,0.9507396617608111,0.9853836784409257,0.03464401668011452
atp6v0b,0.70139116,0.0975369830880406,0.7472594397076735,0.6497224566196329
efnb3,0.7013521,0.8388256214293821,0.941737718229801,0.1029120968004189
gpr37,0.70113665,0.8914153834512504,0.9567600487210719,0.06534466526982152
mir142hg,0.70050216,0.9642465286973629,0.9996954933008526,0.035448964603489674
crispld1,0.7003537,0.8713631720328402,0.9973609419407227,0.12599776990788247
camk2a,0.7001077,0.29783209110514164,0.4804100690215185,0.18257797791637687
